"","X","Title","Author","Subject","Abstract","Meta"
"42",42,"foundation models for time series analysis: a tutorial and survey","yuxuan liang, haomin wen, yuqi nie, yushan jiang, ming jin, dongjin song, shirui pan, qingsong wen","machine learning (cs.lg)","time series analysis stands as a focal point within the data mining community, serving as a cornerstone for extracting valuable insights crucial to a myriad of real-world applications. recent advancements in foundation models (fms) have fundamentally reshaped the paradigm of model design for time series analysis, boosting various downstream tasks in practice. these innovative approaches often leverage pre-trained or fine-tuned fms to harness generalized knowledge tailored specifically for time series analysis. in this survey, we aim to furnish a comprehensive and up-to-date overview of fms for time series analysis. while prior surveys have predominantly focused on either the application or the pipeline aspects of fms in time series analysis, they have often lacked an in-depth understanding of the underlying mechanisms that elucidate why and how fms benefit time series analysis. to address this gap, our survey adopts a model-centric classification, delineating various pivotal elements of time-series fms, including model architectures, pre-training techniques, adaptation methods, and data modalities. overall, this survey serves to consolidate the latest advancements in fms pertinent to time series analysis, accentuating their theoretical underpinnings, recent strides in development, and avenues for future research exploration.",2024-03-21
"43",43,"individual and product-related antecedents of electronic word-of-mouth","bogdan anastasiei, nicoleta dospinescu, octavian dospinescu","computers and society (cs.cy)","this research investigates the antecedents of positive and negative electronic word-of-mouth (ewom) propensity, as well as the impact of ewom propensity on the intention to repurchase the product. two types of ewom predictors were considered: product related variables and personal factors. the data were collected through an online survey conducted on a sample of  romanian subjects, and the analysis method was structural equation modeling. our findings show that personal factors - social media usage behavior, marketing mavenism and need to evaluate - are the most important antecedents of the intention to write product reviews and comments online, either positive or negative. from the product related factors, only brand trust influences the propensity to provide ewom. furthermore, both positive and negative ewom intentions are associated with the repurchase intention.",2024-03-19
"44",44,"visualizing progress in broadening participation in computing: the value of context","valerie barr, carla e. brodley, manuel a. pérez-quiñones","computers and society (cs.cy)","concerns about representation in computing within the u.s. have driven numerous activities to broaden participation. assessment of the impact of these efforts and, indeed, a clear assessment of the actual ""problem"" being addressed are limited by the nature of the most common data analysis which looks at the representation of each population as a percentage of the number of students graduating with a degree in computing. this use of a single metric cannot adequately assess the impact of broadening participation efforts. first, this approach fails to account for changing demographics of the undergraduate population in terms of overall numbers and relative proportion of the federally designated gender, race, and ethnicity groupings. a second issue is that the majority of literature on broadening participation in computing (bpc) reports data on gender or on race/ethnicity, omitting data on students' intersectional identities. this leads to an incorrect understanding of both the data and the challenges we face as a field. in this paper we present several different approaches to tracking the impact of bpc efforts. we make three recommendations: ) cohort-based analysis should be used to accurately show student engagement in computing; ) the field as a whole needs to adopt the norm of always reporting intersectional data; ) university demographic context matters when looking at how well a cs department is doing to broaden participation in computing, including longitudinal analysis of university demographic shifts that impact the local demographics of computing.",2024-03-18
"45",45,"synergy of information in multimodal iot systems -- discovering the impact of daily behaviour routines on physical activity level","mohsen shirali, zahra ahmadi, carlos fernández-llatas, jose-luis bayo-monton","computers and society (cs.cy)","the intricate connection between daily behaviours and health necessitates robust behaviour monitoring, particularly with the advent of iot systems. this study introduces an innovative approach, exploiting the synergy of information from various iot sources, to assess the alignment of behaviour routines with health guidelines. we grouped routines based on guideline compliance and used a clustering method to identify similarities in behaviours and key characteristics within each cluster. applied to an elderly care case study, our approach unveils patterns leading to physical inactivity by categorising days based on recommended daily steps. utilising data from wristbands, smartphones, and ambient sensors, the study provides insights not achievable with single-source data. visualisation in a calendar view aids health experts in understanding patient behaviours, enabling precise interventions. notably, the approach facilitates early detection of behaviour changes during events like covid- and ramadan, available in our dataset. this work signifies a promising path for behavioural analysis and discovering variations to empower smart healthcare, offering insights into patient health, personalised interventions, and healthier routines through continuous iot-driven data analysis.",2024-03-17
"46",46,"aci: a cloud-based, service-oriented geospatial cyberinfrastructure to support atmospheric research","wenwen li, hu shao, sizhe wang, xiran zhou, sheng wu","computers and society (cs.cy)","big earth science data offers the scientific community great opportunities. many more studies at large-scales, over long-terms and at high resolution can now be conducted using the rich information collected by remote sensing satellites, ground-based sensor networks, and even social media input. however, the hundreds of terabytes of information collected and compiled on an hourly basis by nasa and other government agencies present a significant challenge for atmospheric scientists seeking to improve the understanding of the earth atmospheric system. these challenges include effective discovery, organization, analysis and visualization of large amounts of data. this paper reports the outcomes of an nsf-funded project that developed a geospatial cyberinfrastructure -- the aci (atmospheric analysis cyberinfrastructure) -- to support atmospheric research. we first introduce the service-oriented system framework then describe in detail the implementation of the data discovery module, data management module, data integration module, data analysis and visualization modules following the cloud computing principles-data-as-a-service, software-as-a-service, platform-as-a-service and infrastructure-as-a-service. we demonstrate the graphic user interface by performing an analysis between sea surface temperature and the intensity of tropical storms in the north atlantic and pacific oceans. we expect this work to contribute to the technical advancement of cyberinfrastructure research as well as to the development of an online, collaborative scientific analysis system for atmospheric science.",2024-03-15
"47",47,"developing and deploying industry standards for artificial intelligence in education (aied): challenges, strategies, and future directions","richard tong, haoyang li, joleen liang, qingsong wen","computers and society (cs.cy)","the adoption of artificial intelligence in education (aied) holds the promise of revolutionizing educational practices by offering personalized learning experiences, automating administrative and pedagogical tasks, and reducing the cost of content creation. however, the lack of standardized practices in the development and deployment of aied solutions has led to fragmented ecosystems, which presents challenges in interoperability, scalability, and ethical governance. this article aims to address the critical need to develop and implement industry standards in aied, offering a comprehensive analysis of the current landscape, challenges, and strategic approaches to overcome these obstacles. we begin by examining the various applications of aied in various educational settings and identify key areas lacking in standardization, including system interoperability, ontology mapping, data integration, evaluation, and ethical governance. then, we propose a multi-tiered framework for establishing robust industry standards for aied. in addition, we discuss methodologies for the iterative development and deployment of standards, incorporating feedback loops from real-world applications to refine and adapt standards over time. the paper also highlights the role of emerging technologies and pedagogical theories in shaping future standards for aied. finally, we outline a strategic roadmap for stakeholders to implement these standards, fostering a cohesive and ethical aied ecosystem. by establishing comprehensive industry standards, such as those by ieee artificial intelligence standards committee (aisc) and international organization for standardization (iso), we can accelerate and scale aied solutions to improve educational outcomes, ensuring that technological advances align with the principles of inclusivity, fairness, and educational excellence.",2024-03-13
"48",48,"kernel alignment for unsupervised feature selection via matrix factorization","ziyuan lin, deanna needell","machine learning (cs.lg)","by removing irrelevant and redundant features, feature selection aims to find a good representation of the original features. with the prevalence of unlabeled data, unsupervised feature selection has been proven effective in alleviating the so-called curse of dimensionality. most existing matrix factorization-based unsupervised feature selection methods are built upon subspace learning, but they have limitations in capturing nonlinear structural information among features. it is well-known that kernel techniques can capture nonlinear structural information. in this paper, we construct a model by integrating kernel functions and kernel alignment, which can be equivalently characterized as a matrix factorization problem. however, such an extension raises another issue: the algorithm performance heavily depends on the choice of kernel, which is often unknown a priori. therefore, we further propose a multiple kernel-based learning method. by doing so, our model can learn both linear and nonlinear similarity information and automatically generate the most appropriate kernel. experimental analysis on real-world data demonstrates that the two proposed methods outperform other classic and state-of-the-art unsupervised feature selection methods in terms of clustering results and redundancy reduction in almost all datasets tested.",2024-03-13
"49",49,"evaluating pedagogical incentives in undergraduate computing: a mixed methods approach using learning analytics","laura j. johnston, takoua jendoubi","computers and society (cs.cy)","in the context of higher education's evolving dynamics post-covid-, this paper assesses the impact of new pedagogical incentives implemented in a first-year undergraduate computing module at university college london. we employ a mixed methods approach, combining learning analytics with qualitative data, to evaluate the effectiveness of these incentives on increasing student engagement.
a longitudinal overview of resource interactions is mapped through bayesian network analysis of moodle activity logs from  students. this analysis identifies early resource engagement as a predictive indicator of continued engagement while also suggesting that the new incentives disproportionately benefit highly engaged students. focus group discussions complement this analysis, providing insights into student perceptions of the pedagogical changes and the module design. these qualitative findings underscore the challenge of sustaining engagement through the new incentives and highlight the importance of communication in blended learning environments.
our paper introduces an interpretable and actionable model for student engagement, which integrates objective, data-driven analysis with students' perspectives. this model provides educators with a tool to evaluate and improve instructional strategies. by demonstrating the effectiveness of our mixed methods approach in capturing the intricacies of student behaviour in digital learning environments, we underscore the model's potential to improve online pedagogical practices across diverse educational settings.",2024-03-13
"50",50,"qubicsv: an open-source data storage and visualization platform for collaborative qubit control","devanshu brahmbhatt, yilun xu, neel vora, larry chen, neelay fruitwala, gang huang, qing ji, phuc nguyen","quantum physics (quant-ph)","developing collaborative research platforms for quantum bit control is crucial for driving innovation in the field, as they enable the exchange of ideas, data, and implementation to achieve more impactful outcomes. furthermore, considering the high costs associated with quantum experimental setups, collaborative environments are vital for maximizing resource utilization efficiently. however, the lack of dedicated data management platforms presents a significant obstacle to progress, highlighting the necessity for essential assistive tools tailored for this purpose. current qubit control systems are unable to handle complicated management of extensive calibration data and do not support effectively visualizing intricate quantum experiment outcomes. in this paper, we introduce qubicsv (qubit control storage and visualization), a platform specifically designed to meet the demands of quantum computing research, focusing on the storage and analysis of calibration and characterization data in qubit control systems. as an open-source tool, qubicsv facilitates efficient data management of quantum computing, providing data versioning capabilities for data storage and allowing researchers and programmers to interact with qubits in real time. the insightful visualization are developed to interpret complex quantum experiments and optimize qubit performance. qubicsv not only streamlines the handling of qubit control system data but also improves the user experience with intuitive visualization features, making it a valuable asset for researchers in the quantum computing domain.",2024-03-07
"51",51,"can the nanograv observations constrain the geometry of the universe?","matteo califano, rocco d'agostino, daniele vernieri","cosmology and nongalactic astrophysics (astro-ph.co)","the theory of inflation provides an elegant explanation for the nearly flat universe observed today, which represents one of the pillars of the standard cosmological model. however, recent studies have reported some deviations from a flat geometry, arguing that a closed universe would be instead favored by observations. given its central role played in the cosmological context, this paper revisits the issue of spatial curvature in light of the stochastic gravitational wave background signal recently detected by the nanograv collaboration. for this purpose, we investigate the primordial gravitational waves generated during inflation and their propagation in the post-inflationary universe. we propose a new parametrization of the gravitational wave power spectrum, taking into account spatial curvature, the tensor-to-scalar ratio and the spectral index of tensor perturbations. therefore, we compare the theoretical predictions with nanograv data to possibly constrain the geometry of the universe. we find that the choice of the priors has a significant effect on the computed posterior distributions. in particular, using flat uniform priors results in $\omega_{\mathcal{k},}= . \pm .$ at the \% confidence level. on the other hand, imposing a planck prior, we obtain $\omega_{\mathcal{k},}= -. \pm .$ at the \% confidence level. this result aligns with the analysis of the cosmic microwave background radiation, and no deviations from a flat universe are found.",2024-03-22
"52",52,"closing the information gap in unidentified anomalous phenomena (uap) studies","gretchen r. stahlman","digital libraries (cs.dl)","unidentified anomalous phenomena (uap), also known as unidentified flying objects (ufos), has shifted from being a stigmatized topic on the fringes of scientific inquiry to a legitimate subject of scientific interest with a need for high quality, curated data, and rigorous scientific investigation. this paper presents a preliminary scoping review and analysis of scholarly literature related to uap from  until , exploring a diverse range of research areas across disciplines to illustrate scholarly discourse about the topic. the paper focuses on characterizing papers published in recent years and notes that library & information science is unrepresented in the current uap literature. the paper also discusses how researchers across the ifields can contribute to uap studies through inherent expertise such as data curation and data science as well as information behavior and information literacy, among others. the paper concludes by emphasizing that uap studies offer a rich intellectual realm for information science research, with the ifields well positioned to play a crucial role in supporting and engaging in the study of uap.",2024-03-22
"53",53,"energy-dependent boosted dark matter from diffuse supernova neutrino background","anirban das, tim herbermann, manibrata sen, volodymyr takhistov","high energy physics - phenomenology (hep-ph)","diffuse neutrinos from past supernovae in the universe present us with a unique opportunity to test dark matter (dm) interactions. these neutrinos can scatter and boost the dm particles in the milky way halo to relativistic energies allowing us to detect them in terrestrial laboratories. focusing on generic models of dm-neutrino and electron interactions, mediated by a vector or a scalar boson, we implement energy-dependent scattering cross-sections and perform detailed numerical analysis of dm attenuation due to electron scattering in-medium while propagating towards terrestrial experiments. we set new limits on dm-neutrino and electron interactions for dm with masses in the range $\sim (., ^)~$mev, using recent data from xenonnt, lux-zeplin, and pandax-t direct detection experiments. we demonstrate that consideration of energy-dependent cross-sections for dm interactions can significantly affect constraints previously derived under the assumption of constant cross-sections, modifying them by multiple orders of magnitude.",2024-03-22
"54",54,"learning topological representations for deep image understanding","xiaoling hu","computer vision and pattern recognition (cs.cv)","in many scenarios, especially biomedical applications, the correct delineation of complex fine-scaled structures such as neurons, tissues, and vessels is critical for downstream analysis. despite the strong predictive power of deep learning methods, they do not provide a satisfactory representation of these structures, thus creating significant barriers in scalable annotation and downstream analysis. in this dissertation, we tackle such challenges by proposing novel representations of these topological structures in a deep learning framework. we leverage the mathematical tools from topological data analysis, i.e., persistent homology and discrete morse theory, to develop principled methods for better segmentation and uncertainty estimation, which will become powerful tools for scalable annotation.",2024-03-22
"55",55,"neural plasticity-inspired foundation model for observing the earth crossing modalities","zhitong xiong, yi wang, fahong zhang, adam j. stewart, joëlle hanna, damian borth, ioannis papoutsis, bertrand le saux, gustau camps-valls, xiao xiang zhu","computer vision and pattern recognition (cs.cv)","the development of foundation models has revolutionized our ability to interpret the earth's surface using satellite observational data. traditional models have been siloed, tailored to specific sensors or data types like optical, radar, and hyperspectral, each with its own unique characteristics. this specialization hinders the potential for a holistic analysis that could benefit from the combined strengths of these diverse data sources. our novel approach introduces the dynamic one-for-all (dofa) model, leveraging the concept of neural plasticity in brain science to integrate various data modalities into a single framework adaptively. this dynamic hypernetwork, adjusting to different wavelengths, enables a single versatile transformer jointly trained on data from five sensors to excel across  distinct earth observation tasks, including sensors never seen during pretraining. dofa's innovative design offers a promising leap towards more accurate, efficient, and unified earth observation analysis, showcasing remarkable adaptability and performance in harnessing the potential of multimodal earth observation data.",2024-03-22
"56",56,"low-regularity solutions of the nonlinear schrödinger equation on the spatial quarter-plane","dionyssios mantzavinos, türker ozsarı","analysis of pdes (math.ap)","the hadamard well-posedness of the nonlinear schrödinger equation with power nonlinearity formulated on the spatial quarter-plane is established in a low-regularity setting with sobolev initial data and dirichlet boundary data in appropriate bourgain-type spaces. as both of the spatial variables are restricted to the half-line, a different approach is needed than the one previously used for the well-posedness of other initial-boundary value problems. in particular, now the solution of the forced linear initial-boundary problem is estimated \textit{directly}, both in sobolev spaces and in strichartz-type spaces, i.e. without a linear decomposition that would require estimates for the associated homogeneous and nonhomogeneous initial value problems. in the process of deriving the linear estimates, the function spaces for the boundary data are identified as the intersections of certain modified bourgain-type spaces that involve spatial half-line fourier transforms instead of the usual whole-line fourier transform found in the definition of the standard bourgain space associated with the one-dimensional initial value problem. the fact that the quarter-plane has a corner at the origin poses an additional challenge, as it requires one to expand the validity of certain sobolev extension results to the case of a domain with a non-smooth (lipschitz) and non-compact boundary.",2024-03-22
"57",57,"global analysis of lisa data with galactic binaries and massive black hole binaries","stefan h. strub, luigi ferraioli, cédric schmelzbach, simon c. stähler, domenico giardini","general relativity and quantum cosmology (gr-qc)","the laser interferometer space antenna (lisa) is a planned space-based observatory to measure gravitational waves in the millihertz frequency band. this frequency band is expected to be dominated by signals from millions of galactic binaries and tens of merging massive black hole binaries. the lisa data challenge a is focused on the robust signal extraction from a blend of these two types of gravitational wave signals. here, we introduce a novel high performance and cost-effective global fit pipeline extracting and characterizing galactic binary and massive black hole binary signals and estimate the noise of the residual. we preform the pipeline in a time-evolving weekly analysis starting with and observation time of  week until we reach a full year. as expected we detect more galactic binaries and massive black hole binaries bringing the noise estimate of the residual closer to the instrument noise by each week of additional observation time. furthermore, we present a novel maximum likelihood estimate-based algorithm for extracting multiple massive black hole binaries. additionally we demonstrate a massive black hole binary signal extraction with a more accurate lisa response, considering higher harmonic modes, in a noisy data set.",2024-03-22
"58",58,"a data-driven approach to pde-constrained optimization in inverse problems","tristan van leeuwen, yunan yang","optimization and control (math.oc)","inverse problems are ubiquitous in science and engineering. many of these are naturally formulated as a pde-constrained optimization problem. these non-linear, large-scale, constrained optimization problems know many challenges, of which the inherent non-linearity of the problem is an important one. as an alternative to this physics-driven approach, data-driven methods have been proposed. these methods come with their own set of challenges, and it appears that, ideally, one would devise hybrid methods that combine the best of both worlds. in this paper, we propose one way of combining pde-constrained optimization with recently proposed data-driven reduced-order models. starting from an infinite-dimensional formulation of the inverse problem with discrete data, we propose a general framework for the analysis and discretisation of such problems. the proposed approach is based on a relaxed formulation of the pde-constrained optimization problem, which reduces to a weighted non-linear least-squares problem. the weight matrix turns out to be the gram matrix of solutions of the pde, and it can be estimated directly from the measurements. we provide a number of representative case studies and numerical examples.",2024-03-22
"59",59,"a data-informed mathematical model of microglial cell dynamics during ischemic stroke in the middle cerebral artery","sara amato, andrea arnold","cell behavior (q-bio.cb)","neuroinflammation immediately follows the onset of ischemic stroke in the middle cerebral artery. during this process, microglial cells are activated in and recruited to the penumbra. microglial cells can be activated into two different phenotypes: m, which can worsen brain injury; or m, which can aid in long-term recovery. in this study, we contribute a summary of experimental data on microglial cell counts in the penumbra following ischemic stroke induced by middle cerebral artery occlusion (mcao) in mice and compile available data sets into a single set suitable for time series analysis. further, we formulate a mathematical model of microglial cells in the penumbra during ischemic stroke due to mcao. through use of global sensitivity analysis and markov chain monte carlo (mcmc)-based parameter estimation, we analyze the effects of the model parameters on the number of m and m cells in the penumbra and fit identifiable parameters to the compiled experimental data set. we utilize results from mcmc parameter estimation to ascertain uncertainty bounds and forward predictions for the number of m and m microglial cells over time. results demonstrate the significance of parameters related to m and m activation on the number of m and m microglial cells. simulations further suggest that potential outliers in the observed data may be omitted and forecast predictions suggest a lingering inflammatory response.",2024-03-22
"60",60,"tests for almost stochastic dominance","amparo baíllo, javier cárcamo, carlos mora-corral","econometrics (econ.em)","we introduce a -dimensional stochastic dominance (dsd) index to characterize both strict and almost stochastic dominance. based on this index, we derive an estimator for the minimum violation ratio (mvr), also known as the critical parameter, of the almost stochastic ordering condition between two variables. we determine the asymptotic properties of the empirical dsd index and mvr for the most frequently used stochastic orders. we also provide conditions under which the bootstrap estimators of these quantities are strongly consistent. as an application, we develop consistent bootstrap testing procedures for almost stochastic dominance. the performance of the tests is checked via simulations and the analysis of real data.",2024-03-22
"61",61,"self-supervised backbone framework for diverse agricultural vision tasks","sudhir sornapudi (), rajhans singh () (() corteva agriscience, indianapolis, usa)","computer vision and pattern recognition (cs.cv)","computer vision in agriculture is game-changing with its ability to transform farming into a data-driven, precise, and sustainable industry. deep learning has empowered agriculture vision to analyze vast, complex visual data, but heavily rely on the availability of large annotated datasets. this remains a bottleneck as manual labeling is error-prone, time-consuming, and expensive. the lack of efficient labeling approaches inspired us to consider self-supervised learning as a paradigm shift, learning meaningful feature representations from raw agricultural image data. in this work, we explore how self-supervised representation learning unlocks the potential applicability to diverse agriculture vision tasks by eliminating the need for large-scale annotated datasets. we propose a lightweight framework utilizing simclr, a contrastive learning approach, to pre-train a resnet- backbone on a large, unannotated dataset of real-world agriculture field images. our experimental analysis and results indicate that the model learns robust features applicable to a broad range of downstream agriculture tasks discussed in the paper. additionally, the reduced reliance on annotated data makes our approach more cost-effective and accessible, paving the way for broader adoption of computer vision in agriculture.",2024-03-22
"62",62,"sfod: spiking fusion object detector","yimeng fan, wei zhang, changsong liu, mingyang li, wenrui lu","computer vision and pattern recognition (cs.cv)","event cameras, characterized by high temporal resolution, high dynamic range, low power consumption, and high pixel bandwidth, offer unique capabilities for object detection in specialized contexts. despite these advantages, the inherent sparsity and asynchrony of event data pose challenges to existing object detection algorithms. spiking neural networks (snns), inspired by the way the human brain codes and processes information, offer a potential solution to these difficulties. however, their performance in object detection using event cameras is limited in current implementations. in this paper, we propose the spiking fusion object detector (sfod), a simple and efficient approach to snn-based object detection. specifically, we design a spiking fusion module, achieving the first-time fusion of feature maps from different scales in snns applied to event cameras. additionally, through integrating our analysis and experiments conducted during the pretraining of the backbone network on the ncar dataset, we delve deeply into the impact of spiking decoding strategies and loss functions on model performance. thereby, we establish state-of-the-art classification results based on snns, achieving .\% accuracy on the ncar dataset. experimental results on the gen detection dataset demonstrate that the sfod achieves a state-of-the-art map of .\%, outperforming existing snn-based approaches. our research not only underscores the potential of snns in object detection with event cameras but also propels the advancement of snns. code is available at this https url.",2024-03-22
"63",63,"double cross-fit doubly robust estimators: beyond series regression","alec mcclean, sivaraman balakrishnan, edward h. kennedy, larry wasserman","statistics theory (math.st)","doubly robust estimators with cross-fitting have gained popularity in causal inference due to their favorable structure-agnostic error guarantees. however, when additional structure, such as hölder smoothness, is available then more accurate ""double cross-fit doubly robust"" (dcdr) estimators can be constructed by splitting the training data and undersmoothing nuisance function estimators on independent samples. we study a dcdr estimator of the expected conditional covariance, a functional of interest in causal inference and conditional independence testing, and derive a series of increasingly powerful results with progressively stronger assumptions. we first provide a structure-agnostic error analysis for the dcdr estimator with no assumptions on the nuisance functions or their estimators. then, assuming the nuisance functions are hölder smooth, but without assuming knowledge of the true smoothness level or the covariate density, we establish that dcdr estimators with several linear smoothers are semiparametric efficient under minimal conditions and achieve fast convergence rates in the non-$\sqrt{n}$ regime. when the covariate density and smoothnesses are known, we propose a minimax rate-optimal dcdr estimator based on undersmoothed kernel regression. moreover, we show an undersmoothed dcdr estimator satisfies a slower-than-$\sqrt{n}$ central limit theorem, and that inference is possible even in the non-$\sqrt{n}$ regime. finally, we support our theoretical results with simulations, providing intuition for double cross-fitting and undersmoothing, demonstrating where our estimator achieves semiparametric efficiency while the usual ""single cross-fit"" estimator fails, and illustrating asymptotic normality for the undersmoothed dcdr estimator.",2024-03-22
"64",64,"allhands: ask me anything on large-scale verbatim feedback via large language models","chaoyun zhang, zicheng ma, yuhao wu, shilin he, si qin, minghua ma, xiaoting qin, yu kang, yuyi liang, xiaoyu gou, yajie xue, qingwei lin, saravan rajmohan, dongmei zhang, qi zhang","software engineering (cs.se)","verbatim feedback constitutes a valuable repository of user experiences, opinions, and requirements essential for software development. effectively and efficiently extracting valuable insights from such data poses a challenging task. this paper introduces allhands , an innovative analytic framework designed for large-scale feedback analysis through a natural language interface, leveraging large language models (llms). allhands adheres to a conventional feedback analytic workflow, initially conducting classification and topic modeling on the feedback to convert them into a structurally augmented format, incorporating llms to enhance accuracy, robustness, generalization, and user-friendliness. subsequently, an llm agent is employed to interpret users' diverse questions in natural language on feedback, translating them into python code for execution, and delivering comprehensive multi-modal responses, including text, code, tables, and images.
we evaluate allhands across three diverse feedback datasets. the experiments demonstrate that allhands achieves superior efficacy at all stages of analysis, including classification and topic modeling, eventually providing users with an ``ask me anything'' experience with comprehensive, correct and human-readable response. to the best of our knowledge, allhands stands as the first comprehensive feedback analysis framework that supports diverse and customized requirements for insight extraction through a natural language interface.",2024-03-22
"65",65,"an in-depth analysis of data reduction methods for sustainable deep learning","víctor toscano-durán, javier perera-lago, eduardo paluzo-hidalgo, rocío gonzalez-diaz, miguel ángel gutierrez-naranjo, matteo rucco","machine learning (cs.lg)","in recent years, deep learning has gained popularity for its ability to solve complex classification tasks, increasingly delivering better results thanks to the development of more accurate models, the availability of huge volumes of data and the improved computational capabilities of modern computers. however, these improvements in performance also bring efficiency problems, related to the storage of datasets and models, and to the waste of energy and time involved in both the training and inference processes. in this context, data reduction can help reduce energy consumption when training a deep learning model. in this paper, we present up to eight different methods to reduce the size of a tabular training dataset, and we develop a python package to apply them. we also introduce a representativeness metric based on topology to measure how similar are the reduced datasets and the full training dataset. additionally, we develop a methodology to apply these data reduction methods to image datasets for object detection tasks. finally, we experimentally compare how these data reduction methods affect the representativeness of the reduced dataset, the energy consumption and the predictive performance of the model.",2024-03-22
"66",66,"text clustering with llm embeddings","alina petukhova, joao p. matos-carvalho, nuno fachada","computation and language (cs.cl)","text clustering is an important approach for organising the growing amount of digital content, helping to structure and find hidden patterns in uncategorised data. in this research, we investigated how different textual embeddings - particularly those used in large language models (llms) - and clustering algorithms affect how text datasets are clustered. a series of experiments were conducted to assess how embeddings influence clustering results, the role played by dimensionality reduction through summarisation, and embedding size adjustment. results reveal that llm embeddings excel at capturing the nuances of structured language, while bert leads the lightweight options in performance. in addition, we find that increasing embedding dimensionality and summarisation techniques do not uniformly improve clustering efficiency, suggesting that these strategies require careful analysis to use in real-life models. these results highlight a complex balance between the need for nuanced text representation and computational feasibility in text clustering applications. this study extends traditional text clustering frameworks by incorporating embeddings from llms, thereby paving the way for improved methodologies and opening new avenues for future research in various types of textual analysis.",2024-03-22
"67",67,"chisiec: an information extraction corpus for ancient chinese history","xuemei tang, zekun deng, qi su, hao yang, jun wang","computation and language (cs.cl)","natural language processing (nlp) plays a pivotal role in the realm of digital humanities (dh) and serves as the cornerstone for advancing the structural analysis of historical and cultural heritage texts. this is particularly true for the domains of named entity recognition (ner) and relation extraction (re). in our commitment to expediting ancient history and culture, we present the ``chinese historical information extraction corpus''(chisiec). chisiec is a meticulously curated dataset designed to develop and evaluate ner and re tasks, offering a resource to facilitate research in the field. spanning a remarkable historical timeline encompassing data from  dynasties spanning over  years, chisiec epitomizes the extensive temporal range and text heterogeneity inherent in chinese historical documents. the dataset encompasses four distinct entity types and twelve relation types, resulting in a meticulously labeled dataset comprising , entities and , relations. to establish the robustness and versatility of our dataset, we have undertaken comprehensive experimentation involving models of various sizes and paradigms. additionally, we have evaluated the capabilities of large language models (llms) in the context of tasks related to ancient chinese history. the dataset and code are available at \url{this https url}.",2024-03-22
"68",68,"gtagcn: generalized topology adaptive graph convolutional networks","sukhdeep singh, anuj sharma, vinod kumar chauhan","machine learning (cs.lg)","graph neural networks (gnn) have emerged as a popular and standard approach for learning from graph-structured data. the literature on gnn highlights the potential of this evolving research area and its widespread adoption in real-life applications. however, most of the approaches are either new in concept or derived from specific techniques. therefore, the potential of more than one approach in hybrid form has not been studied extensively, which can be well utilized for sequenced data or static data together. we derive a hybrid approach based on two established techniques as generalized aggregation networks and topology adaptive graph convolution networks that solve our purpose to apply on both types of sequenced and static nature of data, effectively. the proposed method applies to both node and graph classification. our empirical analysis reveals that the results are at par with literature results and better for handwritten strokes as sequenced data, where graph structures have not been explored.",2024-03-22
"69",69,"comprehensive lipidomic automation workflow using large language models","connor beveridge, sanjay iyer, caitlin e. randolph, matthew muhoberac, palak manchanda, amy c. clingenpeel, shane tichy, gaurav chopra","quantitative methods (q-bio.qm)","lipidomics generates large data that makes manual annotation and interpretation challenging. lipid chemical and structural diversity with structural isomers further complicates annotation. although, several commercial and open-source software for targeted lipid identification exists, it lacks automated method generation workflows and integration with statistical and bioinformatics tools. we have developed the comprehensive lipidomic automated workflow (claw) platform with integrated workflow for parsing, detailed statistical analysis and lipid annotations based on custom multiple reaction monitoring (mrm) precursor and product ion pair transitions. claw contains several modules including identification of carbon-carbon double bond position(s) in unsaturated lipids when combined with ozone electrospray ionization (ozesi)-mrm methodology. to demonstrate the utility of the automated workflow in claw, large-scale lipidomics data was collected with traditional and ozesi-mrm profiling on biological and non-biological samples. specifically, a total of  transitions organized into  mrm-based mass spectrometry methods were used to profile lipid droplets isolated from different brain regions of - month-old alzheimer's disease mice and age-matched wild-type controls. additionally, triacyclglycerols (tgs) profiles with carbon-carbon double bond specificity were generated from canola oil samples using ozesi-mrm profiling. we also developed an integrated language user interface with large language models using artificially intelligent (ai) agents that permits users to interact with the claw platform using a chatbot terminal to perform statistical and bioinformatic analyses. we envision claw pipeline to be used in high-throughput lipid structural identification tasks aiding users to generate automated lipidomics workflows ranging from data acquisition to ai agent-based bioinformatic analysis.",2024-03-22
"70",70,"construction of a japanese financial benchmark for large language models","masanori hirano","computational finance (q-fin.cp)","with the recent development of large language models (llms), models that focus on certain domains and languages have been discussed for their necessity. there is also a growing need for benchmarks to evaluate the performance of current llms in each domain. therefore, in this study, we constructed a benchmark comprising multiple tasks specific to the japanese and financial domains and performed benchmark measurements on some models. consequently, we confirmed that gpt- is currently outstanding, and that the constructed benchmarks function effectively. according to our analysis, our benchmark can differentiate benchmark scores among models in all performance ranges by combining tasks with different difficulties.",2024-03-22
"71",71,"a nonvariational form of the neumann problem for hölder continuous harmonic functions","m. lanza de cristoforis","analysis of pdes (math.ap)","we present a nonvariational setting for the neumann problem for harmonic functions that are hölder continuous and that may have infinite dirichlet integral. then we introduce a space of distributions on the boundary (a space of first order traces for hölder continuous harmonic functions), we analyze the properties of the corresponding distributional single layer potential and we prove a representation theorem for harmonic hölder continuous functions in terms of distributional single layer potentials. as an application, we solve the interior and exterior neumann problem with distributional data in the space of first order traces that has been introduced.",2024-03-22
